WAFERID,LOTID,WAFERNO,LOTTYPE,EVENTTIME,MATERIALID,SLOTNO,NETDIE,PRODCTGROUP,CATEGORY,EQPNAME,COMMENT,BINTOTAL,BIN00,BIN01,BIN02,BIN03,BIN04,BIN05,BIN06,BIN07,BIN08,BIN09,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30
NBGAH0B9B,NBGAH0B90,B1IUXA,B,2022-02-01 02:20:34,SX897BH30F02,4,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4344,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9C,NBGAH0B90,B1IUXB,B,2022-02-01 02:20:34,SX897BH30F02,3,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4250,3,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9D,NBGAH0B90,B1IUXC,B,2022-02-01 02:20:34,SX897BH30F02,6,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4352,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9E,NBGAH0B90,B1IUXD,B,2022-02-01 02:20:34,SX897BH30F02,2,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4364,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9F,NBGAH0B90,B1IUXE,B,2022-02-01 02:20:34,SX897BH30F02,1,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4353,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9G,NBGAH0B90,B1IUXF,B,2022-02-01 02:20:34,SX897BH30F02,7,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4355,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9H,NBGAH0B90,B1IUXG,B,2022-02-01 02:20:34,SX897BH30F02,12,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4369,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9I,NBGAH0B90,B1IUXH,B,2022-02-01 02:20:34,SX897BH30F02,17,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4369,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9J,NBGAH0B90,B1IUXI,B,2022-02-01 02:20:34,SX897BH30F02,19,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4362,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9K,NBGAH0B90,B1IUXJ,B,2022-02-01 02:20:34,SX897BH30F02,24,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4347,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9L,NBGAH0B90,B1IUXK,B,2022-02-01 02:20:34,SX897BH30F02,23,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4362,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9M,NBGAH0B90,B1IUXL,B,2022-02-01 02:20:34,SX897BH30F02,22,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4359,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBGAH0B9N,NBGAH0B90,B1IUXM,B,2022-02-01 02:20:34,SX897BH30F02,21,4082,TC-CSP,TC_DPX,외관검사기#12, ,4377,4354,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
